Списання,,,,,,,,,,,
ID списання,Дата,Тип списання,SKU,Назва товару,Кількість,Собівартість 1 од. / ПРРО,Управлінська собівартість 1 од.,Сума списання / ПРРО,Управлінська сума списання,Причина,Примітка
WRT-0096,2026-06-27,Інше,PKM-JP-OUTL-BST,Pokémon — Outlet Mix — JP — Booster,-6,"48,62 грн","51,54 грн","-291,72 грн","-309,24 грн",Інвентаризаційний перерозподіл SKU,Відновлено 6 OUTL; списання перенесено на MZERO (WRT-0093).
WRT-0097,2026-06-27,Інше,PKM-JP-MBRV-BST,Pokémon — Mega Brave — JP — Booster,-1,"77,36 грн","82,00 грн","-77,36 грн","-82,00 грн",Інвентаризаційне переміщення SKU,Повернуто 1 Mega Brave з Outlet у MBRV; парний рух WRT-0098.
WRT-0098,2026-06-27,Інше,PKM-JP-OUTL-BST,Pokémon — Outlet Mix — JP — Booster,1,"48,62 грн","51,54 грн","48,62 грн","51,54 грн",Інвентаризаційне переміщення SKU,1 пак переведено з Outlet у MBRV; парний рух WRT-0097.
WRT-0099,2026-06-27,Власне відкриття,PKM-JP-MZERO-BST,Pokémon — Munics Zero — JP — Booster,4,"41,07 грн","43,53 грн","164,28 грн","174,12 грн",Коригування фактичного залишку,Інвентаризація 2026-06-27; після перерозподілу 48 шт → факт 44; власне відкриття 4.
WRT-0100,2026-06-27,Власне відкриття,OP-JP-OP08-BST,One Piece — OP-08 — JP — Booster,2,"82,67 грн","87,63 грн","165,34 грн","175,26 грн",Коригування фактичного залишку,Інвентаризація 2026-06-27; CRM 35 → факт 33.
WRT-0101,2026-06-27,Власне відкриття,OP-JP-OP14-BST,One Piece — OP-14 — JP — Booster,2,"94,07 грн","99,72 грн","188,14 грн","199,44 грн",Коригування фактичного залишку,Інвентаризація 2026-06-27; CRM 34 → факт 32.
WRT-0102,2026-06-27,Власне відкриття,YGO-JP-BDOM-BST,Yu-Gi-Oh! — Blazing Dominion — JP — Booster,1,"30,95 грн","32,81 грн","30,95 грн","32,81 грн",Коригування фактичного залишку,Інвентаризація 2026-06-27; CRM 30 → факт 29.
WRT-0103,2026-06-27,Власне відкриття,PKM-KR-HWAK-BST,Pokémon — Hot Wind Arena — KR — Booster,1,"71,52 грн","75,81 грн","71,52 грн","75,81 грн",Коригування фактичного залишку,Інвентаризація 2026-06-27; CRM 28 → факт 27.
WRT-0104,2026-06-27,Власне відкриття,PKM-JP-BBLT-BST,Pokémon — Black Bolt — JP — Booster,1,"213,47 грн","226,28 грн","213,47 грн","226,28 грн",Коригування фактичного залишку,Інвентаризація 2026-06-27; CRM 18 → факт 17.
WRT-0105,2026-06-27,Власне відкриття,OP-JP-OP15-BST,One Piece — OP-15 — JP — Booster,1,"82,21 грн","87,14 грн","82,21 грн","87,14 грн",Коригування фактичного залишку,Інвентаризація 2026-06-27; CRM 17 → факт 16.
